Date	Price	Open	High	Low
6/30/2020	9150.6	9194.4	9206.5	9077.1
7/1/2020	9239.9	9150.6	9298	9109.5
7/2/2020	9100	9239.9	9266.1	8950.2
7/3/2020	9073.9	9100	9135.5	9058.1
7/4/2020	9147.7	9073.9	9203.5	9060
7/5/2020	9089.7	9147.7	9152.3	9004.9
7/6/2020	9361	9089.7	9361	9080.1
7/7/2020	9267.5	9361	9361	9255.1
7/8/2020	9447	9267.5	9480.7	9267.5
7/9/2020	9248.9	9447	9447	9215
7/10/2020	9305.7	9248.9	9305.7	9161.9
7/11/2020	9246.3	9305.7	9305.7	9221.8
7/12/2020	9315.8	9246.3	9315.8	9195.6
7/13/2020	9252	9315.8	9344.8	9238.1
7/14/2020	9263.4	9252	9270.7	9194.8
7/15/2020	9210.1	9263.4	9263.4	9195.7
7/16/2020	9149.9	9210.1	9215.7	9092.1
7/17/2020	9167.3	9149.9	9172	9128.8
7/18/2020	9189.1	9167.3	9200.1	9142.9
7/19/2020	9231.2	9189.1	9231.2	9130.5
7/20/2020	9179.2	9231.2	9231.2	9169.7
7/21/2020	9402	9179.2	9434	9179.2
7/22/2020	9557.7	9402	9557.7	9349.3
7/23/2020	9615	9557.7	9642.9	9494.6
7/24/2020	9559.4	9615	9615	9505.3
7/25/2020	9714.9	9559.1	9730.5	9559.1
7/26/2020	9948.1	9714.9	10008	9685.8
7/27/2020	11044	9946.3	11249.1	9946.3
7/28/2020	10932	11044	11211.8	10761
7/29/2020	11117	10932	11240	10929.2
7/30/2020	11123	11117	11180	10965
7/31/2020	11350	11123	11378	11038
8/1/2020	11804.7	11350	11804.7	11307
8/2/2020	11053.8	11804.7	11917	11032
8/3/2020	11226.5	11053.8	11389	11053.8
8/4/2020	11184	11226.5	11346.8	11096
8/5/2020	11735.8	11184	11735.8	11182
8/6/2020	11759	11735.8	11858	11649.7
8/7/2020	11580	11759	11845	11509
8/8/2020	11764	11580	11772	11564
8/9/2020	11675.7	11764	11782	11572
8/10/2020	11892	11675.7	12024	11675.7
8/11/2020	11379.8	11892	11912	11278
8/12/2020	11591	11379.8	11591	11257
8/13/2020	11792.5	11589	11792.5	11388
8/14/2020	11761	11792.5	11824	11699
8/15/2020	11873.4	11761	11977.4	11761
8/16/2020	11925	11873.4	11925	11781
8/17/2020	12300	11925	12415	11826.1
8/18/2020	11961.8	12300	12359	11927.2
8/19/2020	11778	11961.8	12004	11694.6
8/20/2020	11884	11778	11900	11719
8/21/2020	11531	11884	11889	11531
8/22/2020	11685	11531	11690.7	11449
8/23/2020	11663	11685	11692.6	11551
8/24/2020	11768	11663	11817.9	11616.8
8/25/2020	11341	11768	11768	11200
8/26/2020	11471	11341	11482	11316
8/27/2020	11343	11471.1	11471.1	11254
8/28/2020	11545	11343	11545	11343
8/29/2020	11492	11545	11587	11476.3
8/30/2020	11729.9	11492	11729.9	11492
8/31/2020	11671	11729.9	11734	11639.1
9/1/2020	11942	11671	12037	11616
9/2/2020	11408	11942	11942	11334
9/3/2020	10170	11408	11408	10011
9/4/2020	10484.7	10170	10593	10170
9/5/2020	10197	10484.7	10517.7	10046.2
9/6/2020	10276	10196.9	10325	10122
9/7/2020	10397	10276	10397	9964.1
9/8/2020	10149.8	10397	10397	10007
9/9/2020	10240	10149.8	10324	10030
9/10/2020	10355	10240	10407	10240
9/11/2020	10405	10355	10405	10220
9/12/2020	10458	10405	10463.5	10352
9/13/2020	10331	10458	10560	10244
9/14/2020	10686	10331	10754	10331
9/15/2020	10797	10690	10899.9	10690
9/16/2020	10971.3	10797	11091	10690.9
9/17/2020	10959	10971.3	11040.4	10812.7
9/18/2020	10957.2	10959	11022	10868
9/19/2020	11099	10957.2	11127	10957.2
9/20/2020	10934.5	11099	11099	10848.2
9/21/2020	10434	10934.5	10980.9	10434
9/22/2020	10549	10435	10589	10435
9/23/2020	10263	10549	10549	10255
9/24/2020	10754	10263	10760	10263
9/25/2020	10708	10754	10765	10629
9/26/2020	10750	10708	10776.9	10700.7
9/27/2020	10803	10750	10807.1	10664
9/28/2020	10712	10803	10941	10712
9/29/2020	10856	10712	10856	10697
9/30/2020	10794	10856	10856	10715
10/1/2020	10634	10795	10909	10523
10/2/2020	10586	10634	10634	10476
10/3/2020	10558.6	10586	10608	10535
10/4/2020	10687	10558.6	10694.1	10557.6
10/5/2020	10807	10687	10807	10669
10/6/2020	10613.7	10807	10807	10592
10/7/2020	10687	10613.7	10687	10584.1
10/8/2020	10943	10687	10943	10577
10/9/2020	11071	10943	11102.4	10878
10/10/2020	11308	11071	11450	11071
10/11/2020	11385	11308	11430	11308
10/12/2020	11560	11385	11698.9	11284
10/13/2020	11442	11560	11560	11392.5
10/14/2020	11440	11442	11547	11347
10/15/2020	11509	11440	11513	11335
10/16/2020	11325	11509	11540	11268.2
10/17/2020	11375	11325	11375	11325
10/18/2020	11518	11375	11518	11366
10/19/2020	11757	11518	11764	11451
10/20/2020	11925	11757	11980	11723
10/21/2020	12825	11925	13099	11925
10/22/2020	12988	12810.9	13128	12738.3
10/23/2020	12935	12988	12999	12757
10/24/2020	13132	12935	13166	12905
10/25/2020	13037	13127	13298	12990
10/26/2020	13061	13037	13205	12863
10/27/2020	13626.3	13061	13703.5	13061
10/28/2020	13272	13626.3	13763	13041.2
10/29/2020	13451	13272	13555.1	13153
10/30/2020	13568	13451	13642.2	13250
10/31/2020	13788	13568	13958	13499
11/1/2020	13756	13788	13829	13679.5
11/2/2020	13563	13756	13828.5	13414
11/3/2020	14025	13562	14025	13401
